epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
52,5238.57,0.22937,0.06052,0.00338,0.07623,0.00538,0,0.00289,0.99598,0.99943,0.995,0.94844,0.99149,0.99494,0.99228,0.98813,0.30636,0.98356,0.28389,0.10416,0.00019,0.09098,0.00606,0,0.00313,0.00024755,0.00024755,0.00024755
53,5288.87,0.23564,0.07299,0.00153,0.07625,0.00562,0,0.0028,0.99751,0.99941,0.995,0.95079,0.99303,0.99496,0.99376,0.98989,0.30614,0.98408,0.28723,0.10364,0.00016,0.09146,0.00609,0,0.00314,0.0002426,0.0002426,0.0002426
54,5339.09,0.21605,0.05983,0.00184,0.07074,0.00514,0,0.00283,0.99868,0.99733,0.995,0.95385,0.99166,0.99034,0.99235,0.98738,0.30769,0.98356,0.27852,0.10345,0.0002,0.09354,0.006,0,0.00314,0.00023765,0.00023765,0.00023765
55,5389.51,0.22547,0.05858,0.00328,0.07301,0.00542,0,0.00278,0.99808,0.999,0.995,0.94911,0.99223,0.99442,0.9933,0.98966,0.29922,0.98581,0.27978,0.09761,0.00021,0.09019,0.00599,0,0.00309,0.0002327,0.0002327,0.0002327
56,5440.41,0.23722,0.05727,0.00153,0.07842,0.00557,0,0.00284,1,0.99704,0.995,0.94462,0.9932,0.98958,0.98462,0.98233,0.30301,0.98363,0.27988,0.11863,0.00023,0.08869,0.00601,0,0.00314,0.00022775,0.00022775,0.00022775
57,5491.62,0.2369,0.0915,0.00158,0.0777,0.00573,0,0.0029,0.99945,0.99448,0.99497,0.94413,0.98679,0.9953,0.99198,0.98652,0.30996,0.98371,0.29286,0.10635,0.00023,0.09561,0.0063,0,0.00316,0.0002228,0.0002228,0.0002228
58,5542.54,0.24036,0.06188,0.00337,0.08127,0.00572,0,0.00285,0.99428,0.99883,0.995,0.95415,0.9898,0.99436,0.99366,0.98932,0.29019,0.98634,0.266,0.10073,0.00016,0.08924,0.00573,0,0.0031,0.00021785,0.00021785,0.00021785
59,5595.02,0.21403,0.07111,0.0013,0.07195,0.0051,0,0.00284,0.99871,0.99938,0.995,0.95499,0.99421,0.99489,0.9943,0.99018,0.28807,0.98611,0.27423,0.10031,0.00021,0.08685,0.00589,0,0.00308,0.0002129,0.0002129,0.0002129
60,5644.88,0.20642,0.05752,0.00175,0.073,0.00494,0,0.00279,0.99961,0.99964,0.995,0.94443,0.99511,0.99514,0.99369,0.9906,0.28946,0.98588,0.29539,0.10042,0.00017,0.09204,0.00632,0,0.00309,0.00020795,0.00020795,0.00020795
61,5696.85,0.21118,0.05701,0.00099,0.07152,0.00498,0,0.00286,0.99805,0.9965,0.995,0.94689,0.99103,0.98951,0.99221,0.98811,0.29796,0.98536,0.27883,0.11518,0.00021,0.09053,0.00599,0,0.00311,0.000203,0.000203,0.000203
62,5746.43,0.22132,0.06951,0.00114,0.07104,0.0053,0,0.00278,0.99767,1,0.995,0.94923,0.99319,0.99101,0.99344,0.98929,0.29651,0.98408,0.28076,0.11485,0.00019,0.0888,0.00604,0,0.00308,0.00019805,0.00019805,0.00019805
63,5797,0.20964,0.05149,0.00107,0.06809,0.00495,0,0.00267,0.99651,0.9989,0.995,0.95029,0.98974,0.99171,0.99337,0.9889,0.2974,0.98363,0.28361,0.10197,0.00014,0.09344,0.00608,0,0.00305,0.0001931,0.0001931,0.0001931
64,5846.95,0.21511,0.08127,0.00306,0.0686,0.00509,0,0.00274,0.99982,0.99492,0.995,0.9529,0.98812,0.99467,0.99315,0.98868,0.2972,0.98431,0.27474,0.10014,0.00018,0.09105,0.00586,0,0.00308,0.00018815,0.00018815,0.00018815
65,5898.14,0.21651,0.06772,0.00152,0.07448,0.00515,0,0.00279,0.99926,0.99514,0.995,0.94695,0.98752,0.99408,0.99259,0.98835,0.29678,0.98513,0.2841,0.09928,0.00021,0.09319,0.00611,0,0.00305,0.0001832,0.0001832,0.0001832
66,5948.66,0.20252,0.06963,0.00325,0.06849,0.00485,0,0.00275,0.99653,0.99952,0.99498,0.94893,0.99205,0.99503,0.99355,0.98991,0.28327,0.98701,0.2829,0.09786,0.00016,0.0891,0.00603,0,0.00303,0.00017825,0.00017825,0.00017825
67,6001.18,0.19684,0.05296,0.00068,0.06892,0.00464,0,0.00266,0.99964,0.99728,0.995,0.95278,0.99613,0.99379,0.99358,0.98985,0.28274,0.98709,0.26847,0.09678,0.00016,0.08581,0.00574,0,0.00302,0.0001733,0.0001733,0.0001733
68,6052.28,0.20287,0.05665,0.00137,0.07009,0.00479,0,0.00269,0.99864,1,0.995,0.95494,0.99265,0.994,0.98846,0.98765,0.29627,0.98558,0.27414,0.11315,0.00015,0.08805,0.00587,0,0.00304,0.00016835,0.00016835,0.00016835
69,6104.44,0.20744,0.06621,0.00103,0.06878,0.0049,0,0.00268,0.99781,0.99881,0.995,0.95656,0.99353,0.9904,0.99297,0.98868,0.29295,0.98521,0.26504,0.11251,0.00017,0.08539,0.0057,0,0.00301,0.0001634,0.0001634,0.0001634
70,6155.06,0.21114,0.05126,0.00441,0.07158,0.00503,0,0.00265,0.99866,0.9997,0.995,0.96114,0.99267,0.9937,0.99318,0.9892,0.29395,0.98566,0.25297,0.09632,0.00016,0.08467,0.00543,0,0.00301,0.00015845,0.00015845,0.00015845
71,6205.78,0.20185,0.06906,0.00085,0.06845,0.00483,0,0.00271,0.99984,0.99832,0.995,0.95779,0.99384,0.99233,0.9873,0.98528,0.29528,0.98603,0.26199,0.11215,0.00017,0.08348,0.00563,0,0.00304,0.0001535,0.0001535,0.0001535
72,6255.38,0.20868,0.05487,0.00191,0.06969,0.00495,0,0.00271,0.99737,0.99619,0.995,0.95013,0.99279,0.99171,0.99298,0.98986,0.2821,0.98701,0.28159,0.0973,0.00019,0.09359,0.006,0,0.00298,0.00014855,0.00014855,0.00014855
73,6307.88,0.19785,0.0511,0.0011,0.0665,0.00468,0,0.00261,0.99901,0.99736,0.995,0.95828,0.99449,0.99288,0.99425,0.99108,0.27961,0.98731,0.2657,0.09601,0.00017,0.08602,0.00567,0,0.00297,0.0001436,0.0001436,0.0001436
74,6357.35,0.19547,0.0592,0.00092,0.07321,0.00465,0,0.00266,0.99734,0.99993,0.995,0.9604,0.99285,0.99543,0.99419,0.98991,0.28081,0.98701,0.26606,0.09726,0.00015,0.08553,0.00567,0,0.00299,0.00013865,0.00013865,0.00013865
75,6407.37,0.19634,0.05192,0.00072,0.06482,0.00461,0,0.00264,0.99706,1,0.99498,0.95433,0.99258,0.9955,0.99337,0.98913,0.28912,0.98566,0.26635,0.09628,0.00013,0.0857,0.00569,0,0.00296,0.0001337,0.0001337,0.0001337
76,6455.86,0.204,0.06437,0.00169,0.06505,0.00483,0,0.00261,0.99848,0.999,0.995,0.95711,0.99374,0.99461,0.99271,0.9891,0.2884,0.98611,0.26501,0.09461,0.00013,0.08815,0.00567,0,0.00297,0.00012875,0.00012875,0.00012875
77,6508.34,0.19412,0.04955,0.00231,0.06336,0.00459,0,0.00261,0.99407,0.99927,0.99499,0.9559,0.9896,0.9948,0.99299,0.98941,0.27858,0.98664,0.26872,0.09659,0.00015,0.08986,0.00577,0,0.00296,0.0001238,0.0001238,0.0001238
78,6559.92,0.19626,0.08819,0.001,0.06691,0.00468,0,0.00261,0.99714,0.99898,0.99498,0.95924,0.99266,0.99448,0.99451,0.99094,0.27854,0.98686,0.26356,0.09627,0.00016,0.08699,0.00564,0,0.00295,0.00011885,0.00011885,0.00011885
79,6612.25,0.18764,0.049,0.00041,0.06661,0.00443,0,0.0026,0.99693,0.99952,0.99498,0.95717,0.99245,0.99502,0.99416,0.9905,0.2768,0.98724,0.26207,0.09551,0.00016,0.0851,0.00562,0,0.00295,0.0001139,0.0001139,0.0001139
80,6662.58,0.19688,0.04963,0.00259,0.07016,0.00465,0,0.00261,1,0.99873,0.995,0.95649,0.9955,0.99424,0.99425,0.99032,0.27667,0.98761,0.26375,0.09553,0.00016,0.08428,0.00564,0,0.00294,0.00010895,0.00010895,0.00010895
